,page,country,rev_id,predictions
12996,Saifuddin Bohra,Pakistan,758706289,NotFound
13336,Saleh Al Shal,United Arab Emirates,760194556,NotFound
13337,Josef Siegele,Austria,760195376,NotFound
13617,Nikolay Baranov (politician),Russia,761821348,NotFound
13785,Kalthouma Nguembang,Chad,762816132,NotFound
13881,Leonora Linter,Estonia,763245610,NotFound
13949,Elisha Shapiro,United States,763558111,NotFound
14084,Lennox Farrell,Canada,764019224,NotFound
14117,Francois Willie Cloete,South Africa,764191934,NotFound
14263,Obuobia Darko-Opoku,Ghana,764911200,NotFound
14355,Emmanuel Odoi Lartey,Ghana,765228329,NotFound
14406,Roozbeh Farahanipour,Iran,765489047,NotFound
14438,Zeev Schwartz,Israel,765662083,NotFound
14443,Jeferson Moreira,Brazil,765717347,NotFound
14562,Giammarco Montanari,Italy,766101638,NotFound
15010,Muhammad Abdul Haque,Bangladesh,768013050,NotFound
15246,Rajat Majumdar,India,768871687,NotFound
15937,Sheikh Zakaria Ansari,Iran,771213598,NotFound
16034,Muhammad Yar Khan Mandokhail,Pakistan,771642775,NotFound
16168,Walter Lee (Louisiana politician),United States,772176512,NotFound
16238,Mark M. Noble,United States,772567736,NotFound
16460,Isaura Gomes,Cape Verde,773323473,NotFound
16467,Hari Bahadur Rai,Nepal,773355081,NotFound
16519,Viviana Piñeiro,Uruguay,773601556,NotFound
16626,Khaled Negm,Egypt,774023957,NotFound
16708,Phil Hobson,United Kingdom,774293013,NotFound
17571,John Palino,New Zealand,777163201,NotFound
17982,Larry Holmes (activist),United States,778388481,NotFound
18062,Debojeet Thaosen,India,778618827,NotFound
18254,Jacek Maciej Wenderlich,Poland,779101752,NotFound
18266,Mohamad Hamim Aliyas,Singapore,779135011,NotFound
18398,Ina Ambolodto,Philippines,779409209,NotFound
18754,José Ricardo Salazar,Venezuela,779899001,NotFound
18776,Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,NotFound
18779,Rana Assad Amin,Pakistan,779957437,NotFound
19092,Claudia Pastorino,Italy,781072934,NotFound
19208,Jama Mohamud Takar,Somalia,781427254,NotFound
19439,Batul Soltani,Iran,782170063,NotFound
19570,Marcia Dangremon,Brazil,782508289,NotFound
20010,Rose Sales,Brazil,783382630,NotFound
20541,Met Bozi,Albania,784558743,NotFound
21535,Mariano Lazcano,Spain,786721553,NotFound
21827,Mian Fareed Abbas Kathia,Pakistan,787181453,NotFound
21998,Nihal Naj Ali Al-Awlaqi,Yemen,787353922,NotFound
22094,Abdolmajid Pirzadeh Jahromi,Iran,787391918,NotFound
22115,Abdul Latif Khalid Cheema,Pakistan,787398581,NotFound
22184,Abdurahman H. H. Osman 'Mallay',Somalia,787453368,NotFound
22703,Thoraya Obaid,Saudi Arabia,788037971,NotFound
22978,Rahul Sinha,India,788289620,NotFound
23015,Mahesh Kumar,Pakistan,788310383,NotFound
23448,Vithal Chavan,India,788722110,NotFound
24408,Jaybahadur Hitan Magar,Nepal,788844423,NotFound
24913,Amirreza Amirbakhtiar,Iran,788884593,NotFound
25622,Fernando Linera,Spain,789080627,NotFound
25690,Andrés Ycaza Mantilla,Ecuador,789150159,NotFound
25816,Carlo Pezzati,Italy,789262504,NotFound
25838,Patrick Binder,France,789266166,NotFound
26017,Harald Haas (Pirate Party),Austria,789271422,NotFound
26128,Zhang Yuhuan,China,789281061,NotFound
26165,Saqib Idrees Taj,Pakistan,789285351,NotFound
26171,Hameeda Waheeduddin,Pakistan,789285762,NotFound
26178,Zheng Shekui,China,789286413,NotFound
27256,Prasanna Earnest,India,789444415,NotFound
27637,Chowdhary Balbir Singh,India,789736824,NotFound
27786,Arthur C. Watson,United States,789816636,NotFound
28191,Farouk Sharif,Philippines,790028876,NotFound
28348,Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,NotFound
28550,Hrayr Karapetyan,Armenia,790410710,NotFound
29322,Bill Evans (politician),United States,791429003,NotFound
29641,Claybourn – Claiborne – Clayborn family,United States,791866288,NotFound
29842,N. Padmalochanan,India,792184018,NotFound
29977,Marko Selakovic,Serbia,792400552,NotFound
30003,Praveen Agrawal,India,792440851,NotFound
30205,Caleb Crosby,United States,792857662,NotFound
30251,Draft:John Johansson i Gränö,Sweden,792933603,NotFound
30497,Tibor Gaal de Hatvan,Hungary,793280504,NotFound
31226,Chukwuemeka Ihedioha,Nigeria,794311724,NotFound
31273,Gregorei Alexandrovich,Russia,794409906,NotFound
31561,Josh Miller (politician),United States,794768894,NotFound
31626,List of Ghana heads of state by age,Ghana,794866848,NotFound
31771,Alfred Moungara Moussotsi,Gabon,794990759,NotFound
32155,Hari Bhakta Kandel,Nepal,795545202,NotFound
32226,Fraz Wahlah,Pakistan,795588781,NotFound
33158,Hovik Jivanyan,Armenia,796744496,NotFound
33178,Stanford Morse,United States,796758810,NotFound
33696,Dan Hilton,Canada,797311794,NotFound
34270,Volodymyr Manzhosov,Ukraine,797902544,NotFound
34413,Misir Mardanov,Azerbaijan,798073295,NotFound
34982,Jesse Spikes,United States,798615865,NotFound
35168,Ramesh Chander Bidhan,India,798841317,NotFound
35199,Abdullah bin Mohammed Al Thani,United Arab Emirates,798865216,NotFound
35245,Maria Hadjipavlou,Cyprus,798891126,NotFound
35329,Kevin Malcolm Everett,United Kingdom,798945915,NotFound
35334,Darcie Lanthier,Canada,798952867,NotFound
35437,Morteza Kazemian,Iran,799036953,NotFound
35669,V. Sadasivan,India,799263010,NotFound
35704,Norm Wolfinger,United States,799300265,NotFound
35987,Mohd Eekmal Ahmad,Malaysia,799540668,NotFound
36344,Raja Muhammad Akbar Khan,Pakistan,799880073,NotFound
36414,Rich Eychaner,United States,799933274,NotFound
36462,José Francisco Gomes Monteiro,Portugal,799981363,NotFound
36547,Michael McInerney,Ireland,800072571,NotFound
36623,Craig Huey,United States,800144885,NotFound
36732,Abhimanyu Rao,India,800233652,NotFound
36949,Donald Jeffrey Large,United States,800299837,NotFound
37135,Dragan Klaric,Sweden,800471126,NotFound
37216,Bashir Ahmed Sarki,Pakistan,800574730,NotFound
37351,Siddique Nazmul Alam,Bangladesh,800707821,NotFound
37471,Vasyl Stefanyk,Hungary,800802122,NotFound
37870,Georges Sada,Iraq,801177435,NotFound
38096,Anwara Ali,United Kingdom,801306872,NotFound
38457,Secular and Nationalist Jinnah,Pakistan,801536406,NotFound
38509,Ambedkarism,India,801563949,NotFound
38512,Michael Briguglio,Malta,801566979,NotFound
38614,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,NotFound
38658,Abhijit Pandya,United Kingdom,801696196,NotFound
38784,Ouyang Xiu,China,801835819,NotFound
39113,Ali Asghar Khan (politician),Pakistan,802148439,NotFound
39228,List of politicians on Veep,United States,802302246,NotFound
39478,Daniel O'Neill (Royalist),Ireland,802445176,NotFound
39550,Ananda Syahendar Perdana,Indonesia,802475516,NotFound
39584,Ezatullah Mujahid,Afghanistan,802515929,NotFound
39895,Maciej Filip Zegarski,Poland,802765034,NotFound
40042,Bernard Binlin Dadié,Ivorian,802904214,NotFound
40092,Than Htay,Myanmar,802937732,NotFound
40510,Anatoliy Peshko,Ukraine,803413615,NotFound
40594,Kevin Hardwick,United States,803484030,NotFound
40902,David Sparrow,Canada,803784385,NotFound
41237,Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,NotFound
41331,João Victor Guedes,Brazil,804118645,NotFound
41395,Kampa Borgoyary,India,804158476,NotFound
41772,Lucia Lucchesi-Ghiselli,Italy,804473605,NotFound
42026,Lib Peck,United Kingdom,804697858,NotFound
42121,Dudley–Winthrop family,United States,804791599,NotFound
42353,Larry A. Kaczala,United States,804941978,NotFound
42366,William M. Rainach,United States,804945338,NotFound
42379,David J. Dwork,United States,804946658,NotFound
42561,Ron Crickenberger,United States,805031334,NotFound
42573,Lav Grigorije Pajkić,Serbia,805041930,NotFound
42819,Richards–Young family,United States,805211553,NotFound
43113,Ian Axton,United Kingdom,805420467,NotFound
43283,Dennis Shea (lawyer),United States,805517427,NotFound
43529,Kamrul Hasan Nasim,Bangladesh,805697623,NotFound
43661,Political positions of Pat Buchanan,United States,805788048,NotFound
43905,Hossein Khan Movaghar,Iran,805936041,NotFound
43957,Ali Asghar Mousapasandi,Iran,805970954,NotFound
43984,Valeriy Panasenko,Moldova,805993160,NotFound
44042,Edivaldo Holanda Júnior,Brazil,806030859,NotFound
44263,Rajah Alon,Philippines,806179522,NotFound
44349,Golam Mohammad Rabbani,Bangladesh,806223655,NotFound
44606,Mohammed Naguib,Egypt,806372496,NotFound
44655,Phillip Jackson,United States,806403304,NotFound
44876,Valeriu Turea,Moldova,806542084,NotFound
45134,Rajah Gambang,Philippines,806695084,NotFound
45161,Claudia Cruz Santiago,Mexico,806708318,NotFound
45342,Olajide Awosedo,Nigeria,806811023,NotFound
45665,William McMahon,Australia,807000274,NotFound
45921,Dirtbag Left,United States,807161510,NotFound
46014,Guy Georgias,Zimbabwe,807196681,NotFound
46287,John Rose (Trotskyist),United Kingdom,807336308,NotFound
46367,Jalal Movaghar,Iran,807367030,NotFound
46368,Mohsen Movaghar,Iran,807367166,NotFound
46686,King Gutierrez,Philippines,807479587,NotFound
46700,Ajay Kannoujiya,India,807484325,NotFound
