,page,country,rev_id,predictions,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
1287,Osmín Aguirre y Salinas,Salvadoran,707403482,Stub,,,,,,,left_only
1288,Eusebio Rodolfo Cordón Cea,Salvadoran,707404888,Stub,,,,,,,left_only
1303,Juan José Guzmán,Salvadoran,707519272,Stub,,,,,,,left_only
1305,Niko Lee Hang,Samoan,707525246,Stub,,,,,,,left_only
1306,Tuu'u Anasi'i Leota,Samoan,707525315,Stub,,,,,,,left_only
1317,Vladimír Hučín,Czech Republic,707597623,Start,,,,,,,left_only
1334,Tuiloma Pule Lameko,Samoan,707750982,Stub,,,,,,,left_only
1341,Juan Ramón Salgado,Hondura,707824636,Stub,,,,,,,left_only
1365,André-Philippe Futa,"Congo, Dem. Rep. of",708009445,Start,,,,,,,left_only
1380,Juan José Cañas,Salvadoran,708089470,Stub,,,,,,,left_only
1412,Gérard Gifuza,"Congo, Dem. Rep. of",708358969,Stub,,,,,,,left_only
1413,Koloso Sumaili,"Congo, Dem. Rep. of",708359204,Stub,,,,,,,left_only
1499,Tuo Fozié,Ivorian,708711840,Start,,,,,,,left_only
1500,Terry Le Main,Jersey,708727189,Start,,,,,,,left_only
1501,Paul Routier,Jersey,708727221,Start,,,,,,,left_only
1511,Mike Vibert,Jersey,708766654,Start,,,,,,,left_only
1544,Lee Moore (politician),Saint Kitts and Nevis,709078753,Stub,,,,,,,left_only
1545,Joseph Parry (politician),Saint Kitts and Nevis,709078817,Start,,,,,,,left_only
1636,Pavla Topolánková,Czech Republic,709676840,Start,,,,,,,left_only
1677,Harold Dalson,Saint Lucian,709912281,Stub,,,,,,,left_only
1678,Keith Mondesir,Saint Lucian,709912316,C,,,,,,,left_only
1679,Rufus Bousquet,Saint Lucian,709914459,Start,,,,,,,left_only
1755,Sean Power (Jersey),Jersey,710334019,Stub,,,,,,,left_only
1779,Robert James Dugu Gordon,Saint Kitts and Nevis,710428915,Stub,,,,,,,left_only
1786,Leonard Norman,Jersey,710503170,Start,,,,,,,left_only
1801,José Gregorio Salazar,Salvadoran,710543364,Start,,,,,,,left_only
1803,Mike Torode,Guernsey,710546915,Stub,,,,,,,left_only
1807,Diego Vigil Cocaña,Salvadoran,710555824,Start,,,,,,,left_only
1810,Nicolás Espinoza,Salvadoran,710578840,Start,,,,,,,left_only
1812,Léon Emmanuel Monnet,Ivorian,710585105,Stub,,,,,,,left_only
1817,Juan José Alvarado,Hondura,710598059,Stub,,,,,,,left_only
1840,Pedro Barriere,Salvadoran,710677703,Start,,,,,,,left_only
1863,Joaquín de San Martín,Salvadoran,710828020,Start,,,,,,,left_only
